Book Date,  Description,  Book Balance,  Credit,  Debit,  Value Date,  Ref/Chq NO,  Transaction Branch
, BLUE OKTOPUS C-1100B0226013304,,,"-97,200.00", 22/01/2026, 601222441471," NETBANK, MUMBAI"
, NPR ASSOCIATES-1100B0226013303,,,"-57,510.90", 22/01/2026, 601222435588," NETBANK, MUMBAI"
, SHREE BALAJI C-1100B0226013295,,,"-919,628.22", 22/01/2026, 601222366093," NETBANK, MUMBAI"
, MUNDHRA BROTHE-1100B0226013321,,,"-46,798.23", 22/01/2026, 601222443167," NETBANK, MUMBAI"
, Daya Shankar B-1100B0226013311,,,"-235,003.24", 22/01/2026, 601222443206," NETBANK, MUMBAI"
, As Equipment P-1100B0226013315,,,"-8,508.16", 22/01/2026, 601222443155," NETBANK, MUMBAI"
, FS Internation-1100B0226013314,,,"-20,178.00", 22/01/2026, 601222443153," NETBANK, MUMBAI"
, AV VISHWA ENTE-1100B0226013322,,,"-6,635.20", 22/01/2026, 601222443169," NETBANK, MUMBAI"
, Jubi Pack-1100B0226013313,,,"-495,719.00", 22/01/2026, 601222443211," NETBANK, MUMBAI"
, Ankit Enterpri-1100B0226013317,,,"-6,136.00", 22/01/2026, 601222443159," NETBANK, MUMBAI"
, A G UNIVERSAL -1100B0226013344,,,"-1,700,146.47", 22/01/2026, 601222446875," NETBANK, MUMBAI"
, FERVENT GLOBAL-1100B0226013341,,,"-2,294,749.30", 22/01/2026, HDFCH00754582554," NETBANK, MUMBAI"
, MAHALAXMI TRAD-1100B0226013292,,,"-57,525.00", 22/01/2026, HDFCH00754585814," NETBANK, MUMBAI"
, Balbir Singh a-1100B0226013307,,,"-27,730.00", 22/01/2026, 601222443197," NETBANK, MUMBAI"
, SS METALS ENTE-1100B0226013337,,,"-2,345,876.50", 22/01/2026, HDFCH00754584550," NETBANK, MUMBAI"
, RAVI METALS P-1100B0226013339,,,"-2,494,648.86", 22/01/2026, HDFCH00754583307," NETBANK, MUMBAI"
, Foseco India L-1100B0226013305,,,"-126,555.00", 22/01/2026, HDFCH00754583319," NETBANK, MUMBAI"
, Digvijay Print-1100B0226013318,,,"-40,014.00", 22/01/2026, HDFCH00754582615," NETBANK, MUMBAI"
, ATIF TRADING C-1100B0226013331,,,"-2,483,395.09", 22/01/2026, HDFCH00754585128," NETBANK, MUMBAI"
, JS ALLOYS-1100B0226013336,,,"-431,607.00", 22/01/2026, HDFCH00754582622," NETBANK, MUMBAI"
, TIRUPATI TRADE-1100B0226013333,,,"-1,548,869.98", 22/01/2026, HDFCH00754584630," NETBANK, MUMBAI"
, GENDA GAS AGEN-1100B0226013320,,,"-65,529.88", 22/01/2026, HDFCH00754585835," NETBANK, MUMBAI"
, Saw Max Engine-1100B0226013294,,,"-106,200.00", 22/01/2026, HDFCH00754585837," NETBANK, MUMBAI"
, Dilshad Khan-1100B0226013308,,,"-19,266.20", 22/01/2026, HDFCH00754584646," NETBANK, MUMBAI"
, TIMES IT SERVI-1100B0226013298,,,"-34,810.00", 22/01/2026, HDFCH00754582699," NETBANK, MUMBAI"
, Unique Furnace-1100B0226013312,,,"-64,310.00", 22/01/2026, HDFCH00754584659," NETBANK, MUMBAI"
, Steel Links-1100B0226013338,,,"-1,864,832.57", 22/01/2026, HDFCH00754585129," NETBANK, MUMBAI"
, GULAFSHA GUPTA-1100B0226013334,,,"-10,756.80", 22/01/2026, HDFCH00754585843," NETBANK, MUMBAI"
, Saw Max Engine-1100B0226013293,,,"-58,115.00", 22/01/2026, HDFCH00754585844," NETBANK, MUMBAI"
, LOGISNEXT INDI-1100B0226013327,,,"-269,120.00", 22/01/2026, HDFCH00754586988," NETBANK, MUMBAI"
, Shah Coal Depo-1100B0226013296,,,"-34,649.00", 22/01/2026, HDFCH00754585846," NETBANK, MUMBAI"
, Shree Bhawal M-1100B0226013316,,,"-36,333.38", 22/01/2026, HDFCH00754582720," NETBANK, MUMBAI"
, Axcel Gases-1100B0226013310,,,"-20,421.38", 22/01/2026, HDFCH00754587000," NETBANK, MUMBAI"
, SARU AIKOH CHE-1100B0226013324,,,"-68,735.00", 22/01/2026, HDFCH00754587003," NETBANK, MUMBAI"
, GUNGUN CANTEEN-1100B0226013323,,,"-22,713.60", 22/01/2026, HDFCH00754587007," NETBANK, MUMBAI"
, PASCO EARTHMOV-1100B0226013326,,,"-5,910.05", 22/01/2026, HDFCH00754584691," NETBANK, MUMBAI"
, M.S. Engineeri-1100B0226013309,,,"-71,610.00", 22/01/2026, HDFCH00754587010," NETBANK, MUMBAI"
, CHETAN GLOBAL-1100B0226013340,,,"-2,417,783.19", 22/01/2026, HDFCH00754585854," NETBANK, MUMBAI"
, JAGDAMBA TRADI-1100B0226013329,,,"-4,484.00", 22/01/2026, HDFCH00754585858," NETBANK, MUMBAI"
, INW 220126I049903327 USD136207.0@91.5825,," 12,474,177.58",, 22/01/2026, 220126240288," NETBANK, MUMBAI"
, 220126I049903327 DPO2602242385241 IGST,,,"-3,055.35", 22/01/2026, 220126240295," NETBANK, MUMBAI"
, FCY OUTWARD REMITTANCE,,,"-91,372.69", 22/01/2026, 612FT01260220061," KUNDLI, SONEPAT"
, FT601223199153-CMR GREEN TECHNOLOGIES L57FT-57500000342857,," 350,000,000.00",, 22/01/2026, 601223199153," NETBANK, MUMBAI"
," RTGS Dr-ICIC0000083-CMRAluminiumPrivateLimited-NETBANK, MUM-HDFCR52026012260449463",,,"-150,000,000.00", 22/01/2026, HDFCR52026012260449463," NETBANK, MUMBAI"
