Book Date,  Description,  Book Balance,  Credit,  Debit,  Value Date,  Ref/Chq NO,  Transaction Branch
1/1/2026,Opening balance,"-160,915,984.51",,,,,
, AUTO INTEREST PAYMENT ON WCDL AGAINST 572LN01253370003,,,"-1,613,836.00", 01/01/2026, 572LN01253370003, SECTOR-53
, ODEX INDIA SOL-1100B0226012139,,,"-92,526.16", 01/01/2026, HDFCH00707732288," NETBANK, MUMBAI"
, 601019028430CMR YES BANK,,,"-100,000.00", 01/01/2026, HDFCH00708794115," NETBANK, MUMBAI"
, FT601019028509-CMR NIKKEI INDIA PVT LTD 1274 FT-00930310001274,," 50,000,000.00",, 01/01/2026, 601019028509," NETBANK, MUMBAI"
, CHCEJB3172CW6G-CBICICEGATE,,,"-8,247,847.00", 01/01/2026, 601018646128," NETBANK, MUMBAI"
, CHCE7HG172DHVI-CBICICEGATE,,,"-8,102,330.00", 01/01/2026, 601018651203," NETBANK, MUMBAI"
1/2/2026,Opening balance,"-129,072,523.67",,,,,
, AUTO WCDL LIQUIDATED AGAINST 572LN01253370003,,,"-70,872,818.00", 02/01/2026, 572LN01253370003, SECTOR-53
, AUTO INTEREST PAYMENT ON WCDL AGAINST 572LN01253370003,,,"-54,658.00", 02/01/2026, 572LN01253370003, SECTOR-53
, IMPS CR ECMS-9211-CMRGR1100LCU101110-OMNAMOMETAL-922020066935237,," 282,000.00",, 02/01/2026, 600228343982, FARIDABAD HARYANA
, WCDL LIQUIDATED AGAINST 572LN01253370003,,,"-229,127,182.00", 02/01/2026, 572LN01253370003, FARIDABAD HARYANA
, COMM ON LIQD OF IMP COLL BILL,,,-177, 02/01/2026, 612BC05260020001," KUNDLI, SONEPAT"
, RTGS Cr ECMS-UTIB0000310-CMRLTD201LCU101189-KRISHNA METALS-924030074634765,," 2,950,000.00",, 02/01/2026, UTIBR62026010247570582, FORT
, 57500000342857-2857,,,"-7,300,000.00", 02/01/2026, 601029846844," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226012263,,,"-148,674.10", 02/01/2026, HDFCH00710467375," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226012264,,,"-279,539.64", 02/01/2026, HDFCH00710468104," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226012249,,,"-280,639.40", 02/01/2026, HDFCH00710471369," NETBANK, MUMBAI"
, CMA CGM AGENCI-1100B0226012261,,,"-19,666.52", 02/01/2026, HDFCH00710472664," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226012250,,,"-452,226.57", 02/01/2026, HDFCH00710470214," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226012262,,,"-280,639.40", 02/01/2026, HDFCH00710472774," NETBANK, MUMBAI"
, RTGS Cr-KKBK0000958-CMR Green Technologies Limited-CMR Green Technologies Limited-KKBKR52025123100466726,," 30,514,178.10",, 02/01/2026, KKBKR52025123100466726, FORT
, FT CR ECMS-CMRGR1100LCU101874-JSN RECYCLING-50200066284760,," 110,000.00",, 02/01/2026, 000396, ANSARI ROAD
, WCDL DISBURSED AGAINST 572LN01260020005,," 300,000,000.00",, 02/01/2026, 572LN01260020005, SECTOR-53
, FT Cr ECMS-CMRGR1100LCU101315-HERO MOTOCORP LIMITED 315-00030110000315,," 10,868,976.74",, 02/01/2026, 601029613091," NETBANK, MUMBAI"
, COMM ON LIQD OF IMP COLL BILL,,,-177, 02/01/2026, 612BC05260020004," KUNDLI, SONEPAT"
, NEFT Cr-KKBK0000958-Kotak Mahindra Bank-CMR GREEN TECHNOLOGIES LIMITED-KKBKH26002685712,," 5,225.36",, 02/01/2026, KKBKH26002685712, FORT
, FT Cr ECMS-CMRLTD202LCU100983-TOLA TRADING AND CASTING WORKS-50200035571033,," 655,500.00",, 02/01/2026, NBVOWCAMVTN3MHZO," NETBANK, MUMBAI"
, AUTO SWEEPOUT TO CMR GREEN TECHNOLOGI 57500000342857,," 188,012.90",, 02/01/2026,, FARIDABAD HARYANA
1/3/2026,Opening balance,"-92,315,028.20",,,,,
, RTGS Cr ECMS-MAHB0000782-CMRGR1100LCU101872-SHRI KRISHNA METAL EXTRUDERS P-00000060403068056,," 8,817,500.00",, 03/01/2026, MAHBR52026010322589437, FORT
, RTGS Cr ECMS-KKBK0000958-CMRGR1100LCU101760-NIA METALS-3347508444,," 280,000.00",, 03/01/2026, KKBKR52026010300731477, FORT
, NEFT Cr ECMS-ICIC0SF0002-CMRGR1100LCU101579-SHIVAANYA METAL - ALLOYS-032705008599,," 49,000.00",, 03/01/2026, IN42600353811650, FORT
, IMPS CR ECMS-9211-CMRGR1100LCU101769-NAEEMJAVED-919020035458367,," 8,000.00",, 03/01/2026, 600332497290, FARIDABAD HARYANA
, COMM ON EXPORT COLL BILL,,,-177, 03/01/2026, 612BC73260030016," KUNDLI, SONEPAT"
, COMM ON EXPORT COLL BILL,,,-177, 03/01/2026, 612BC63260030003," KUNDLI, SONEPAT"
, COMM ON EXPORT COLL BILL,,,-177, 03/01/2026, 612BC73260030017," KUNDLI, SONEPAT"
, COMM ON EXPORT COLL BILL,,,-177, 03/01/2026, 612BC63260030004," KUNDLI, SONEPAT"
, COMM ON EXPORT COLL BILL,,,-177, 03/01/2026, 612BC73260030018," KUNDLI, SONEPAT"
, COMM ON EXPORT COLL BILL,,,-177, 03/01/2026, 612BC63260030005," KUNDLI, SONEPAT"
, COMM ON EXPORT COLL BILL,,,-177, 03/01/2026, 612BC63260030006," KUNDLI, SONEPAT"
, RTGS Cr ECMS-BARB0BLYALI-CMRLTD201LCU100188-TAJ METALS-26880500003723,," 550,000.00",, 03/01/2026, BARBR52026010300905921, FORT
, FT CR ECMS-CMRGE1100LCU101955-JIO BRICKS-50200070195322,," 50,000.00",, 03/01/2026, 000062, HARIJ
, RTGS Cr ECMS-SBIN0004849-CMRGR1100LCU101784-ZINIC ENTERPRISES-42150693862,," 3,110,600.00",, 03/01/2026, SBINR12026010311669796, FORT
, FT Cr ECMS-CMRLTD201LCU100820-MOHINI INDUSTRIES-50200033588193,," 1,343,000.00",, 03/01/2026, NBFLZFIYSAMWVMOU," NETBANK, MUMBAI"
, RTGS Cr ECMS-BARB0BLYALI-CMRLTD201LCU100188-TAJ METALS-26880500003723,," 255,000.00",, 03/01/2026, BARBR52026010300932999, FORT
, FT- 1400508425 - 0023017416 - 57500000579710 -RICO AUTO INDUSTRIES LTD,," 10,949,538.92",, 03/01/2026, 1400508425, CBX Internet System Mumbai
, IMPS-600317552307-MARUTIS MARUTI SUZUKI INDIA LIMITED-KKBK-xxxxxxxxxx2754-KKBKTransfer,, 1.00,, 03/01/2026, 600317552307, FARIDABAD HARYANA
, IMPS-600317553410-MARUTIS MARUTI SUZUKI INDIA LIMITED-KKBK-xxxxxxxxxx2754-KKBKTransfer,, 1.00,, 03/01/2026, 600317553410, FARIDABAD HARYANA
, RTGS Cr-YESB0000403-TRADE CLEARING ACCOUNT-CMR GREEN TECHNOLOGIES LIMITED-YESBR52026010356919248,," 3,871,796.00",, 03/01/2026, YESBR52026010356919248, FORT
, RTGS Cr-YESB0000403-TRADE CLEARING ACCOUNT-CMR GREEN TECHNOLOGIES LIMITED-YESBR52026010356919200,," 6,255,407.00",, 03/01/2026, YESBR52026010356919200, FORT
, RTGS Cr-YESB0000403-TRADE CLEARING ACCOUNT-CMR GREEN TECHNOLOGIES LIMITED-YESBR52026010356918925,," 5,244,455.00",, 03/01/2026, YESBR52026010356918925, FORT
, RTGS Cr-YESB0000403-TRADE CLEARING ACCOUNT-CMR GREEN TECHNOLOGIES LIMITED-YESBR52026010356918944,," 6,214,325.00",, 03/01/2026, YESBR52026010356918944, FORT
1/4/2026,Opening balance,"-45,317,643.28",,,,,
, FT Cr ECMS-CMRGE1100LCU101958-ALF METALS-50200069457979,, 100.00,, 04/01/2026, HDFCEEF6A01C871A," NETBANK, MUMBAI"
1/5/2026,Opening balance,"-45,317,543.28",,,,,
, FT Cr ECMS-CMRGR1100LCU101079-PARTH METALS-50200114258927,," 2,997,200.00",, 05/01/2026, NBFOLPBSXNGQ9AVG," NETBANK, MUMBAI"
, RTGS Cr ECMS-KKBK0000958-CMRGR1100LCU101760-NIA METALS-3347508444,," 279,000.00",, 05/01/2026, KKBKR52026010500653223, FORT
, FT CR ECMS-CMRGR1100LCU101958-ALF METALS-50200069457979,," 883,200.00",, 05/01/2026, 000036, SECTOR 55 FARIDABAD
, FT Cr ECMS-CMRLTD201LCU100820-MOHINI INDUSTRIES-50200033588193,," 1,343,000.00",, 05/01/2026, NBSNR3X04ACCQZCI," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226012301,,,"-715,106.81", 05/01/2026, HDFCH00716575309," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226012303,,,"-2,267,240.20", 05/01/2026, HDFCH00716578751," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226012302,,,"-2,182,945.72", 05/01/2026, HDFCH00716571648," NETBANK, MUMBAI"
, COMM ON EXPORT COLL BILL,,,-177, 05/01/2026, 612BC73260050013," KUNDLI, SONEPAT"
, 601052365780Abhishek Gupta 11390,,,"-100,000.00", 05/01/2026, HDFCH00716600026," NETBANK, MUMBAI"
, FT Cr ECMS-CMRGR1100LCU101564-SUNLITE RECYCLING INDUSTRIES L-50200073104369,," 26,505,632.00",, 05/01/2026, 1402355380, CBX Internet System Mumbai
, COMM ON EXPORT COLL BILL,,,-177, 05/01/2026, 612BC73260050014," KUNDLI, SONEPAT"
, NEFT Cr ECMS-KKBK0000958-CMRGE1100LCU101962-URBAN METALS REPBIN COMPANY-6450815799,," 100,000.00",, 05/01/2026, KKBKH26005718877, FORT
, COMM ON EXPORT COLL BILL,,,-177, 05/01/2026, 612BC73260050017," KUNDLI, SONEPAT"
, RTGS Cr ECMS-ICIC0003581-CMRGR1100LSU102994-U P GREEN RECYCLING CO-358105500284,," 3,000,000.00",, 05/01/2026, ICICR52026010500445443, FORT
, 57500000863497-eco,,,"-90,000,000.00", 05/01/2026, 601052728702," NETBANK, MUMBAI"
, 12540310000177-177,,,"-20,300,000.00", 05/01/2026, 601052727680," NETBANK, MUMBAI"
," RTGS Dr-RATN0000990-CMRGreenTechnologiesLimited-NETBANK, MUM-HDFCR52026010553403177",,,"-322,192.00", 05/01/2026, HDFCR52026010553403177," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226012305,,,"-2,264,725.62", 05/01/2026, HDFCH00717318194," NETBANK, MUMBAI"
, Maersk Line In-1100B0226012308,,,"-484,497.38", 05/01/2026, HDFCH00717318198," NETBANK, MUMBAI"
, Deutsche Cars -1100B0226012313,,,"-18,850.00", 05/01/2026, 601052835840," NETBANK, MUMBAI"
, INW 030126I049900354 USD10601.05@90.245,," 956,691.76",, 05/01/2026, 050126222135," NETBANK, MUMBAI"
, 030126I049900354 DPO2600590448906 IGST,,,-951.02, 05/01/2026, 050126222142," NETBANK, MUMBAI"
, RTGS Cr ECMS-UBIN0551384-CMRLTD201LCU100856-M F METALS-513805010000059,," 9,000,000.00",, 05/01/2026, UBINR22026010501803087, FORT
, 00930310001264-1264,,,"-30,000,000.00", 05/01/2026, 601053370251," NETBANK, MUMBAI"
, FT601053368654-CMR NLM ECO ALUMINIUM P L 3497 FT-57500000863497,," 70,000,000.00",, 05/01/2026, 601053368654," NETBANK, MUMBAI"
, LIQUIDATION OF IMP COLL BILL,,,"-12,707,821.49", 05/01/2026, 612BC05253240002," KUNDLI, SONEPAT"
, LIQUIDATION OF IMP COLL BILL,,,"-4,740,505.97", 05/01/2026, 612BC05253400007," KUNDLI, SONEPAT"
, 0002369894-05 01 2026-HDFC6416,," 2,657,732.79",, 05/01/2026, 601053500566," NETBANK, MUMBAI"
, FT Cr ECMS-CMRLTD151LCU101331-J B TRADING-50200083168153,," 36,000.00",, 05/01/2026, HDFCE9B7A7101E94," NETBANK, MUMBAI"
, RTGS Cr ECMS-KKBK0000958-CMRLTD151LCU101407-GLOBAL METAL RECYCLERS-1145328738,," 520,817.00",, 05/01/2026, KKBKR52026010500871297, FORT
, AUTO SWEEPOUT TO CMR GREEN TECHNOLOGI 57500000342857,," 19,258,882.73",, 05/01/2026,, FARIDABAD HARYANA
, AUTO SWEEPOUT TO CMR GREEN TECHNOLOGI 12540310000177,," 336,592.07",, 05/01/2026,, SRIPERAMBUDUR
1/6/2026,Opening balance,"-73,548,162.14",,,,,
, RTGS Cr ECMS-ICIC0000011-CMRGR1100LCU101042-BHAWANA ENTERPRISES-140105001942,," 881,932.00",, 06/01/2026, ICICR42026010600501654, FORT
, RTGS Cr ECMS-KKBK0000958-CMRGR1100LCU101760-NIA METALS-3347508444,," 274,000.00",, 06/01/2026, KKBKR52026010600925074, FORT
, IMPS CR ECMS-9485-CMRGR1100LCU101760-NIA METALS-3347508444,," 5,000.00",, 06/01/2026, 600611715186, FARIDABAD HARYANA
, RTGS Cr ECMS-PUNB0107400-CMRLTD202LCU100256-INDIAN METAL SCRAP-08281131002695,," 322,000.00",, 06/01/2026, PUNBR52026010611468479, FORT
, Hyundai Mercha-1100B0226012329,,,"-179,102.29", 06/01/2026, HDFCH00719547393," NETBANK, MUMBAI"
, CMA CGM AGENCI-1100B0226012326,,,"-26,403.90", 06/01/2026, HDFCH00719548428," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226012328,,,"-1,985,968.32", 06/01/2026, HDFCH00719550159," NETBANK, MUMBAI"
, FT-BPCINC249027-Bharat Petroleum Corpn Ltd (Rewari),,,"-1,920,000.00", 06/01/2026, 601064060425," NETBANK, MUMBAI"
, FT Cr ECMS-CMRLTD201LCU100820-MOHINI INDUSTRIES-50200033588193,," 1,487,000.00",, 06/01/2026, NBL0NAU2YGJHYAS9," NETBANK, MUMBAI"
, RTGS Cr ECMS-UTIB0002437-CMRLTD151LCU101262-MAHAKAL ENTERPRISES-921020020261421,," 1,000,000.00",, 06/01/2026, UTIBR72026010600573868, FORT
, FT - 41160191-57500001719146-INDUS TOWERS LIMITED-IPA A/C,," 9,680.00",, 06/01/2026, 1404928863, CBX Internet System Mumbai
, NEFT Cr ECMS-BKID0000200-CMRGR1100LCU101880-AKHILESH FABRICATOR-673520110000226,," 520,000.00",, 06/01/2026, BKIDY26006381642, FORT
, Maersk Line In-1100B0226012384,,,"-131,286.80", 06/01/2026, HDFCH00720136549," NETBANK, MUMBAI"
, Maersk Line In-1100B0226012337,,,"-254,655.80", 06/01/2026, HDFCH00720135741," NETBANK, MUMBAI"
, Maersk Line In-1100B0226012336,,,"-306,162.80", 06/01/2026, HDFCH00720136585," NETBANK, MUMBAI"
, Hapag Lloyd In-1100B0226012385,,,"-17,700.00", 06/01/2026, HDFCH00720135013," NETBANK, MUMBAI"
, Hapag Lloyd In-1100B0226012387,,,"-8,850.00", 06/01/2026, HDFCH00720135750," NETBANK, MUMBAI"
, Hapag Lloyd In-1100B0226012388,,,"-8,850.00", 06/01/2026, HDFCH00720135067," NETBANK, MUMBAI"
, Hapag Lloyd In-1100B0226012386,,,"-17,700.00", 06/01/2026, HDFCH00720133494," NETBANK, MUMBAI"
, IMPS CR ECMS-9052-CMRGR1100LCU101769-AMAN ENTERPRISES-0667202500004701,," 33,000.00",, 06/01/2026, 600631467250, FARIDABAD HARYANA
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026010611982107,," 10,000,000.00",, 06/01/2026, SBINR12026010611982107, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026010611982054,," 10,000,000.00",, 06/01/2026, SBINR12026010611982054, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026010611982137,," 10,000,000.00",, 06/01/2026, SBINR12026010611982137, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026010611982089,," 10,000,000.00",, 06/01/2026, SBINR12026010611982089, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026010611982141,," 10,000,000.00",, 06/01/2026, SBINR12026010611982141, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR TOYOTSU ALUMINIUM INDIA PVT LT-Century Metal Recycling Limited-SBINR12026010611982140,," 10,000,000.00",, 06/01/2026, SBINR12026010611982140, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983161,," 10,000,000.00",, 06/01/2026, SBINR12026010611983161, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983199,," 10,000,000.00",, 06/01/2026, SBINR12026010611983199, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983056,," 10,000,000.00",, 06/01/2026, SBINR12026010611983056, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983157,," 10,000,000.00",, 06/01/2026, SBINR12026010611983157, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983162,," 10,000,000.00",, 06/01/2026, SBINR12026010611983162, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983180,," 10,000,000.00",, 06/01/2026, SBINR12026010611983180, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983136,," 10,000,000.00",, 06/01/2026, SBINR12026010611983136, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983135,," 10,000,000.00",, 06/01/2026, SBINR12026010611983135, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983072,," 10,000,000.00",, 06/01/2026, SBINR12026010611983072, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983158,," 10,000,000.00",, 06/01/2026, SBINR12026010611983158, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983198,," 10,000,000.00",, 06/01/2026, SBINR12026010611983198, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983465,," 10,000,000.00",, 06/01/2026, SBINR12026010611983465, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983463,," 10,000,000.00",, 06/01/2026, SBINR12026010611983463, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983462,," 10,000,000.00",, 06/01/2026, SBINR12026010611983462, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983477,," 10,000,000.00",, 06/01/2026, SBINR12026010611983477, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983336,," 10,000,000.00",, 06/01/2026, SBINR12026010611983336, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983375,," 10,000,000.00",, 06/01/2026, SBINR12026010611983375, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983466,," 10,000,000.00",, 06/01/2026, SBINR12026010611983466, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983480,," 10,000,000.00",, 06/01/2026, SBINR12026010611983480, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983481,," 10,000,000.00",, 06/01/2026, SBINR12026010611983481, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983373,," 10,000,000.00",, 06/01/2026, SBINR12026010611983373, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983372,," 10,000,000.00",, 06/01/2026, SBINR12026010611983372, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983764,," 10,000,000.00",, 06/01/2026, SBINR12026010611983764, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983765,," 10,000,000.00",, 06/01/2026, SBINR12026010611983765, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983766,," 10,000,000.00",, 06/01/2026, SBINR12026010611983766, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983808,," 10,000,000.00",, 06/01/2026, SBINR12026010611983808, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026010611983811,," 10,000,000.00",, 06/01/2026, SBINR12026010611983811, CMS TF WBO MUMBAI
, 12540310000177-177,,,"-4,600,000.00", 06/01/2026, 601064457146," NETBANK, MUMBAI"
, 57500000342857-2857,,,"-350,000,000.00", 06/01/2026, 601064456924," NETBANK, MUMBAI"
, IMPS CR ECMS-9052-CMRGR1100LCU101769-AMAN ENTERPRISES-0667202500004701,," 10,000.00",, 06/01/2026, 600631486553, FARIDABAD HARYANA
, INW 060126I049903940 USD306665.94@90.162,," 27,649,767.82",, 06/01/2026, 060126254963," NETBANK, MUMBAI"
, 060126I049903940 DPO2600691545191 IGST,,,"-5,786.96", 06/01/2026, 060126254970," NETBANK, MUMBAI"
, RTGS Cr-SCBL0036001-ENDURANCE TECHNOLOGIES LIMITED-CMR GREEN TECHNOLOGIES LIMITED-SCBLR12026010600816365,," 16,502,272.08",, 06/01/2026, SCBLR12026010600816365, FORT
, NEFT Cr ECMS-ICIC0SF0002-CMRGR1100LCU101579-SHIVAANYA METAL - ALLOYS-032705008599,," 49,000.00",, 06/01/2026, IN42600656311390, FORT
, COMM ON LIQD OF IMP COLL BILL,,,-177, 06/01/2026, 612BC05260060003," KUNDLI, SONEPAT"
," RTGS Dr-ICIC0006303-CENTURYMETALRECYCLINGLIMITED-NETBANK, MUM-HDFCR52026010654081670",,,"-60,000,000.00", 06/01/2026, HDFCR52026010654081670," NETBANK, MUMBAI"
, FCY OUTWARD REMITTANCE,,,"-316,069.93", 06/01/2026, 612FT01260060049," KUNDLI, SONEPAT"
, LIQUIDATION OF IMP COLL BILL,,,"-16,913,143.79", 06/01/2026, 612BC05253570001," KUNDLI, SONEPAT"
, LIQUIDATION OF IMP COLL BILL,,,"-7,225,219.67", 06/01/2026, 612BC05253290004," KUNDLI, SONEPAT"
, FT- 1405398909 - 0023017527 - 57500000579710 -RICO AUTO INDUSTRIES LTD,," 10,370,053.74",, 06/01/2026, 1405398909, CBX Internet System Mumbai
, LIQUIDATION OF IMP COLL BILL,,,"-7,319,489.22", 06/01/2026, 612BC05253280005," KUNDLI, SONEPAT"
, LIQUIDATION OF IMP COLL BILL,,,"-5,242,897.50", 06/01/2026, 612BC05253210002," KUNDLI, SONEPAT"
, RTGS Cr-YESB0000403-TRADE CLEARING ACCOUNT-CMR GREEN TECHNOLOGIES LIMITED-YESBR52026010656935909,," 5,317,533.00",, 06/01/2026, YESBR52026010656935909, FORT
, RTGS Cr ECMS-ICIC0000011-CMRLTD201LCU100931-SAVITA INDUSTRIES-140105001924,," 650,000.00",, 06/01/2026, ICICR42026010600581585, FORT
, RTGS Cr-YESB0000403-TRADE CLEARING ACCOUNT-CMR GREEN TECHNOLOGIES LIMITED-YESBR52026010656935365,," 4,650,092.00",, 06/01/2026, YESBR52026010656935365, FORT
, RTGS Cr-YESB0000403-TRADE CLEARING ACCOUNT-CMR GREEN TECHNOLOGIES LIMITED-YESBR52026010656935914,," 3,724,453.00",, 06/01/2026, YESBR52026010656935914, FORT
, CHCEYI717MLPJ4-CBICICEGATE,,,"-22,855.00", 06/01/2026, 601065348791," NETBANK, MUMBAI"
, RTGS Cr ECMS-KKBK0000958-CMRGR1100LCU101760-NIA METALS-3347508444,," 274,500.00",, 06/01/2026, KKBKR52026010600736269, FORT
, RTGS Cr ECMS-UTIB0000806-CMRGR1100LCU101508-SIDDHANATH JEWELLERS AND REFIN-923020003815564,," 2,500,000.00",, 06/01/2026, UTIBR62026010648457611, FORT
, NEFT Cr-YESB0000403-DEL WBCAD OUT TRFR-CMR GREEN TECHNOLOGIES LIMITED-YESB60062415586,," 98,630.15",, 06/01/2026, YESB60062415586, FORT
, NEFT Cr ECMS-UTIB0003112-CMRLTD151LCU101486-ADITYA ENTERPRISES-921020054868210,," 900,000.00",, 06/01/2026, AXOMB00602187029, FORT
1/7/2026,Opening balance,"-122,821,567.33",,,,,
, IMPS CR ECMS-9211-CMRLTD151LCU101262-MAHAKALENTERPRISES-921020020261421,," 100,000.00",, 07/01/2026, 600746103913, FARIDABAD HARYANA
, AUTO SWEEPOUT TO CMR GREEN TECHNOLOGI 57500000342857,," 10,897,734.20",, 06/01/2026,, FARIDABAD HARYANA
, AUTO SWEEPOUT TO CMR GREEN TECHNOLOGI 12540310000177,," 77,254.95",, 06/01/2026,, SRIPERAMBUDUR
, NEFT Cr ECMS-CNRB0000378-CMRGR1100LCU101132-JAIN AND BROTHERS-0378261050540,," 7,964,000.00",, 07/01/2026, CNRBH00101460267, FORT
, IMPS CR ECMS-9229-CMRLTD201LCU100931-SAVITA INDUSTRIES-140105001924,," 18,000.00",, 07/01/2026, 600709202471, FARIDABAD HARYANA
, FT-HDFC555122767-HAPPAY POOL ACCOUNT CMRG,,,"-91,068.80", 07/01/2026, 601064140455," NETBANK, MUMBAI"
, Pawan-1100B0226012354,,,"-3,750.00", 07/01/2026, 601064140487," NETBANK, MUMBAI"
, Amit Kumar Vis-1100B0226012347,,,-275, 07/01/2026, 601064140459," NETBANK, MUMBAI"
, Dipak Topiwala-1100B0226012360,,,-936, 07/01/2026, 601064140502," NETBANK, MUMBAI"
, Chandan Kumar-1100B0226012341,,,-510, 07/01/2026, 601064140541," NETBANK, MUMBAI"
, Sarvesh kumar-1100B0226012342,,,"-6,400.00", 07/01/2026, 601064140551," NETBANK, MUMBAI"
, Rupesh Prasad-1100B0226012346,,,"-1,716.21", 07/01/2026, 601064140563," NETBANK, MUMBAI"
, Yugal Kishor G-1100B0226012377,,,"-47,487.00", 07/01/2026, 601064140543," NETBANK, MUMBAI"
